AU,Group,Mean,Std,Median,Range
AU01_r,Depressed Female,0.4462981958470936,0.24163399353556078,0.39573007591856596,0.6438357451072777
AU01_r,Depressed Male,0.5693944152430517,0.11621910366989029,0.5173649397410126,0.21425760492519041
AU02_r,Depressed Female,0.2958647550250496,0.26506217753101663,0.2278639746745065,0.6511824304261953
AU02_r,Depressed Male,0.250924584890806,0.053095396825315735,0.25754386372773597,0.10557007198627796
AU04_r,Depressed Female,0.4525062185839202,0.3526495687650405,0.3472878218662364,0.8409957791458008
AU04_r,Depressed Male,0.38847130199818586,0.06581768888549051,0.4227057454739601,0.11752396062344456
AU05_r,Depressed Female,0.12952311373176909,0.10008909754934218,0.09080546939164223,0.21552380314982947
AU05_r,Depressed Male,0.16859560282029384,0.0555302389806723,0.18382864473343125,0.10788092077480665
AU06_r,Depressed Female,0.13091747732918366,0.04958428108597473,0.14394930986131918,0.1149631461335058
AU06_r,Depressed Male,0.31575593410321295,0.16144433299053604,0.25120050904586044,0.3029106830503506
AU09_r,Depressed Female,0.287375080434105,0.1313707373273066,0.23987202923437442,0.3394011153299396
AU09_r,Depressed Male,0.4065321091691984,0.1716122825633555,0.45000545571033346,0.3348631161056157
AU10_r,Depressed Female,0.15787497807643236,0.07269351562857583,0.13436798311633766,0.17847182214016935
AU10_r,Depressed Male,0.3418143932529518,0.11187518451122826,0.29950687017904726,0.2114106149457462
AU12_r,Depressed Female,0.2197776666206824,0.06334271387298104,0.21234517276295134,0.1617182198969364
AU12_r,Depressed Male,0.2630174406767143,0.02977826441391063,0.2522387878464301,0.05655477040455317
AU14_r,Depressed Female,0.35900781675302335,0.07756017221021175,0.36368918824023516,0.2107142917905349
AU14_r,Depressed Male,0.4872466406195919,0.2378203112573615,0.3505080065238054,0.41248229007200915
AU15_r,Depressed Female,0.12801261207117362,0.05905432979680718,0.13764463460730786,0.1581395592168381
AU15_r,Depressed Male,0.13624091234781802,0.010580333092703556,0.14172237941076543,0.018911222856380805
AU17_r,Depressed Female,0.10841802156115077,0.08054968809557361,0.11627264447711046,0.19573305179672798
AU17_r,Depressed Male,0.19103165886917506,0.13070037233155668,0.18118648963103776,0.26084395189163867
AU20_r,Depressed Female,0.30903061047695485,0.07815868470112537,0.3555541441831163,0.1731045829559367
AU20_r,Depressed Male,0.2650572059182833,0.06723679071492437,0.29221135980197055,0.12598055359123192
AU25_r,Depressed Female,0.8768546751638038,0.12668714598110223,0.8541366350078493,0.32237448041241823
AU25_r,Depressed Male,0.9112277844892936,0.18600223440664074,0.963603981335868,0.36077351181692696
AU26_r,Depressed Female,0.06570164179805535,0.05282420632240214,0.0709522016384135,0.14062393188376515
AU26_r,Depressed Male,0.13766128498861133,0.17050744090263398,0.05623615207811285,0.3104850927245684
