Depressed_Mean,Depressed_Median,Depressed_Range,Depressed_SD,Non_Depressed_Mean,Non_Depressed_Median,Non_Depressed_Range,Non_Depressed_SD
0.4924592781205779,0.47694133323124066,0.6438357451072777,0.20317936516392096,0.5839493242603112,0.608294370933389,1.062438220149964,0.21088754665754741
0.2790121912247083,0.2369687577648204,0.6511824304261953,0.20370036102778158,0.3590497106500896,0.36885846593988014,0.6218118601103562,0.16268904242261475
0.4284931248642698,0.34749835297427734,0.8409957791458008,0.2709241306574978,0.5055925003804695,0.5403049932363189,0.961995438713948,0.22530975402734735
0.14417529713996588,0.14543363310487653,0.21552380314982947,0.08375219490272416,0.19471517913200648,0.2260214835085743,0.31512065620060836,0.09394011971322298
0.20023189861944463,0.1756534463078273,0.43278911756739785,0.13417621800674437,0.170974209078133,0.1541204730557153,0.33111788129532377,0.091341973314945
0.33205896620976505,0.2788870101030735,0.3920335968794945,0.14859178446032245,0.40906730815123393,0.38501086301434506,0.7421298763767656,0.17512230805513082
0.22685225876762719,0.23036076483446966,0.40692193286055484,0.12513290422052165,0.23114535137322187,0.1961751176888468,0.4211500018894335,0.10320107833631112
0.2359925818916943,0.23379184009388135,0.1617182198969364,0.05519877590447638,0.27194215953881257,0.22630452069325538,0.4802334532014559,0.14494874184273163
0.4070973757029866,0.3570985973820203,0.5201485647430311,0.15492581844512088,0.3921157472337492,0.40261187082898303,0.5337834172050977,0.15904143978381285
0.13109822467491528,0.13968350700903664,0.1581395592168381,0.04519875014534665,0.17428686814966618,0.15282656030953848,0.32502496449453006,0.08261108540737802
0.13939813555165986,0.13096635177152227,0.302956143921045,0.10206096439261732,0.20532897903758893,0.18508618785814338,0.5010388702930035,0.12671386844764224
0.292540583767453,0.3033408827870131,0.1795944230154086,0.07280336050576425,0.3273342496318806,0.3042861209704978,0.46333180641385757,0.14120572583065832
0.8897445911608622,0.8827504398040276,0.3712566264573248,0.13918514221542197,1.1662762269646982,1.0544767289279111,2.247589362924083,0.4971236353016497
0.09268650799451383,0.06359417685826317,0.3292298075048229,0.10624518047281521,0.0626186931247508,0.06303711408760358,0.14263187523778606,0.04033914330356574
